elementId,publicTitle,assignedPrimaryRenderer,firstVisibleAnalysis,secondaryVisualization,rawOrEntityListPosition,measureCount,measures,dimensionCount,dimensions,units,yearRange,selectors,interpretation,mapLinkage,runtimeReviewResult,runtimeVerified
B-008,해수면 상승 전망,scenario-comparison,복수 측정항목 추세,접힌 원자료 표,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",200,상대해수면 Da Nang(중부 다낭) SSP1-1.9 17퍼센타일 | 상대해수면 Da Nang(중부 다낭) SSP1-1.9 5퍼센타일 | 상대해수면 Da Nang(중부 다낭) SSP1-1.9 83퍼센타일 | 상대해수면 Da Nang(중부 다낭) SSP1-1.9 95퍼센타일 | 상대해수면 Da Nang(중부 다낭) SSP1-1.9 중앙값 | 상대해수면 Da Nang(중부 다낭) SSP1-2.6 17퍼센타일 | 상대해수면 Da Nang(중부 다낭) SSP1-2.6 5퍼센타일 | 상대해수면 Da Nang(중부 다낭) SSP1-2.6 83퍼센타일 | 상대해수면 Da Nang(중부 다낭) SSP1-2.6 95퍼센타일 | 상대해수면 Da Nang(중부 다낭) SSP1-2.6 중앙값 | 상대해수면 Da Nang(중부 다낭) SSP2-4.5 17퍼센타일 | 상대해수면 Da Nang(중부 다낭) SSP2-4.5 5퍼센타일 | 상대해수면 Da Nang(중부 다낭) SSP2-4.5 83퍼센타일 | 상대해수면 Da Nang(중부 다낭) SSP2-4.5 95퍼센타일 | 상대해수면 Da Nang(중부 다낭) SSP2-4.5 중앙값 | 상대해수면 Da Nang(중부 다낭) SSP3-7.0 17퍼센타일 | 상대해수면 Da Nang(중부 다낭) SSP3-7.0 5퍼센타일 | 상대해수면 Da Nang(중부 다낭) SSP3-7.0 83퍼센타일 | 상대해수면 Da Nang(중부 다낭) SSP3-7.0 95퍼센타일 | 상대해수면 Da Nang(중부 다낭) SSP3-7.0 중앙값 | 상대해수면 Da Nang(중부 다낭) SSP5-8.5 17퍼센타일 | 상대해수면 Da Nang(중부 다낭) SSP5-8.5 5퍼센타일 | 상대해수면 Da Nang(중부 다낭) SSP5-8.5 83퍼센타일 | 상대해수면 Da Nang(중부 다낭) SSP5-8.5 95퍼센타일 | 상대해수면 Da Nang(중부 다낭) SSP5-8.5 중앙값 | 상대해수면 Hon Dau(북부 하이퐁) SSP1-1.9 17퍼센타일 | 상대해수면 Hon Dau(북부 하이퐁) SSP1-1.9 5퍼센타일 | 상대해수면 Hon Dau(북부 하이퐁) SSP1-1.9 83퍼센타일 | 상대해수면 Hon Dau(북부 하이퐁) SSP1-1.9 95퍼센타일 | 상대해수면 Hon Dau(북부 하이퐁) SSP1-1.9 중앙값 | 상대해수면 Hon Dau(북부 하이퐁) SSP1-2.6 17퍼센타일 | 상대해수면 Hon Dau(북부 하이퐁) SSP1-2.6 5퍼센타일 | 상대해수면 Hon Dau(북부 하이퐁) SSP1-2.6 83퍼센타일 | 상대해수면 Hon Dau(북부 하이퐁) SSP1-2.6 95퍼센타일 | 상대해수면 Hon Dau(북부 하이퐁) SSP1-2.6 중앙값 | 상대해수면 Hon Dau(북부 하이퐁) SSP2-4.5 17퍼센타일 | 상대해수면 Hon Dau(북부 하이퐁) SSP2-4.5 5퍼센타일 | 상대해수면 Hon Dau(북부 하이퐁) SSP2-4.5 83퍼센타일 | 상대해수면 Hon Dau(북부 하이퐁) SSP2-4.5 95퍼센타일 | 상대해수면 Hon Dau(북부 하이퐁) SSP2-4.5 중앙값 | 상대해수면 Hon Dau(북부 하이퐁) SSP3-7.0 17퍼센타일 | 상대해수면 Hon Dau(북부 하이퐁) SSP3-7.0 5퍼센타일 | 상대해수면 Hon Dau(북부 하이퐁) SSP3-7.0 83퍼센타일 | 상대해수면 Hon Dau(북부 하이퐁) SSP3-7.0 95퍼센타일 | 상대해수면 Hon Dau(북부 하이퐁) SSP3-7.0 중앙값 | 상대해수면 Hon Dau(북부 하이퐁) SSP5-8.5 17퍼센타일 | 상대해수면 Hon Dau(북부 하이퐁) SSP5-8.5 5퍼센타일 | 상대해수면 Hon Dau(북부 하이퐁) SSP5-8.5 83퍼센타일 | 상대해수면 Hon Dau(북부 하이퐁) SSP5-8.5 95퍼센타일 | 상대해수면 Hon Dau(북부 하이퐁) SSP5-8.5 중앙값 | 상대해수면 Phu Quoc(남부 푸꾸옥) SSP1-1.9 17퍼센타일 | 상대해수면 Phu Quoc(남부 푸꾸옥) SSP1-1.9 5퍼센타일 | 상대해수면 Phu Quoc(남부 푸꾸옥) SSP1-1.9 83퍼센타일 | 상대해수면 Phu Quoc(남부 푸꾸옥) SSP1-1.9 95퍼센타일 | 상대해수면 Phu Quoc(남부 푸꾸옥) SSP1-1.9 중앙값 | 상대해수면 Phu Quoc(남부 푸꾸옥) SSP1-2.6 17퍼센타일 | 상대해수면 Phu Quoc(남부 푸꾸옥) SSP1-2.6 5퍼센타일 | 상대해수면 Phu Quoc(남부 푸꾸옥) SSP1-2.6 83퍼센타일 | 상대해수면 Phu Quoc(남부 푸꾸옥) SSP1-2.6 95퍼센타일 | 상대해수면 Phu Quoc(남부 푸꾸옥) SSP1-2.6 중앙값 | 상대해수면 Phu Quoc(남부 푸꾸옥) SSP2-4.5 17퍼센타일 | 상대해수면 Phu Quoc(남부 푸꾸옥) SSP2-4.5 5퍼센타일 | 상대해수면 Phu Quoc(남부 푸꾸옥) SSP2-4.5 83퍼센타일 | 상대해수면 Phu Quoc(남부 푸꾸옥) SSP2-4.5 95퍼센타일 | 상대해수면 Phu Quoc(남부 푸꾸옥) SSP2-4.5 중앙값 | 상대해수면 Phu Quoc(남부 푸꾸옥) SSP3-7.0 17퍼센타일 | 상대해수면 Phu Quoc(남부 푸꾸옥) SSP3-7.0 5퍼센타일 | 상대해수면 Phu Quoc(남부 푸꾸옥) SSP3-7.0 83퍼센타일 | 상대해수면 Phu Quoc(남부 푸꾸옥) SSP3-7.0 95퍼센타일 | 상대해수면 Phu Quoc(남부 푸꾸옥) SSP3-7.0 중앙값 | 상대해수면 Phu Quoc(남부 푸꾸옥) SSP5-8.5 17퍼센타일 | 상대해수면 Phu Quoc(남부 푸꾸옥) SSP5-8.5 5퍼센타일 | 상대해수면 Phu Quoc(남부 푸꾸옥) SSP5-8.5 83퍼센타일 | 상대해수면 Phu Quoc(남부 푸꾸옥) SSP5-8.5 95퍼센타일 | 상대해수면 Phu Quoc(남부 푸꾸옥) SSP5-8.5 중앙값 | 상대해수면 Quy Nhon(중부 꾸이년) SSP1-1.9 17퍼센타일 | 상대해수면 Quy Nhon(중부 꾸이년) SSP1-1.9 5퍼센타일 | 상대해수면 Quy Nhon(중부 꾸이년) SSP1-1.9 83퍼센타일 | 상대해수면 Quy Nhon(중부 꾸이년) SSP1-1.9 95퍼센타일 | 상대해수면 Quy Nhon(중부 꾸이년) SSP1-1.9 중앙값 | 상대해수면 Quy Nhon(중부 꾸이년) SSP1-2.6 17퍼센타일 | 상대해수면 Quy Nhon(중부 꾸이년) SSP1-2.6 5퍼센타일 | 상대해수면 Quy Nhon(중부 꾸이년) SSP1-2.6 83퍼센타일 | 상대해수면 Quy Nhon(중부 꾸이년) SSP1-2.6 95퍼센타일 | 상대해수면 Quy Nhon(중부 꾸이년) SSP1-2.6 중앙값 | 상대해수면 Quy Nhon(중부 꾸이년) SSP2-4.5 17퍼센타일 | 상대해수면 Quy Nhon(중부 꾸이년) SSP2-4.5 5퍼센타일 | 상대해수면 Quy Nhon(중부 꾸이년) SSP2-4.5 83퍼센타일 | 상대해수면 Quy Nhon(중부 꾸이년) SSP2-4.5 95퍼센타일 | 상대해수면 Quy Nhon(중부 꾸이년) SSP2-4.5 중앙값 | 상대해수면 Quy Nhon(중부 꾸이년) SSP3-7.0 17퍼센타일 | 상대해수면 Quy Nhon(중부 꾸이년) SSP3-7.0 5퍼센타일 | 상대해수면 Quy Nhon(중부 꾸이년) SSP3-7.0 83퍼센타일 | 상대해수면 Quy Nhon(중부 꾸이년) SSP3-7.0 95퍼센타일 | 상대해수면 Quy Nhon(중부 꾸이년) SSP3-7.0 중앙값 | 상대해수면 Quy Nhon(중부 꾸이년) SSP5-8.5 17퍼센타일 | 상대해수면 Quy Nhon(중부 꾸이년) SSP5-8.5 5퍼센타일 | 상대해수면 Quy Nhon(중부 꾸이년) SSP5-8.5 83퍼센타일 | 상대해수면 Quy Nhon(중부 꾸이년) SSP5-8.5 95퍼센타일 | 상대해수면 Quy Nhon(중부 꾸이년) SSP5-8.5 중앙값 | 상대해수면 Vung Tau(남부 붕따우) SSP1-1.9 17퍼센타일 | 상대해수면 Vung Tau(남부 붕따우) SSP1-1.9 5퍼센타일 | 상대해수면 Vung Tau(남부 붕따우) SSP1-1.9 83퍼센타일 | 상대해수면 Vung Tau(남부 붕따우) SSP1-1.9 95퍼센타일 | 상대해수면 Vung Tau(남부 붕따우) SSP1-1.9 중앙값 | 상대해수면 Vung Tau(남부 붕따우) SSP1-2.6 17퍼센타일 | 상대해수면 Vung Tau(남부 붕따우) SSP1-2.6 5퍼센타일 | 상대해수면 Vung Tau(남부 붕따우) SSP1-2.6 83퍼센타일 | 상대해수면 Vung Tau(남부 붕따우) SSP1-2.6 95퍼센타일 | 상대해수면 Vung Tau(남부 붕따우) SSP1-2.6 중앙값 | 상대해수면 Vung Tau(남부 붕따우) SSP2-4.5 17퍼센타일 | 상대해수면 Vung Tau(남부 붕따우) SSP2-4.5 5퍼센타일 | 상대해수면 Vung Tau(남부 붕따우) SSP2-4.5 83퍼센타일 | 상대해수면 Vung Tau(남부 붕따우) SSP2-4.5 95퍼센타일 | 상대해수면 Vung Tau(남부 붕따우) SSP2-4.5 중앙값 | 상대해수면 Vung Tau(남부 붕따우) SSP3-7.0 17퍼센타일 | 상대해수면 Vung Tau(남부 붕따우) SSP3-7.0 5퍼센타일 | 상대해수면 Vung Tau(남부 붕따우) SSP3-7.0 83퍼센타일 | 상대해수면 Vung Tau(남부 붕따우) SSP3-7.0 95퍼센타일 | 상대해수면 Vung Tau(남부 붕따우) SSP3-7.0 중앙값 | 상대해수면 Vung Tau(남부 붕따우) SSP5-8.5 17퍼센타일 | 상대해수면 Vung Tau(남부 붕따우) SSP5-8.5 5퍼센타일 | 상대해수면 Vung Tau(남부 붕따우) SSP5-8.5 83퍼센타일 | 상대해수면 Vung Tau(남부 붕따우) SSP5-8.5 95퍼센타일 | 상대해수면 Vung Tau(남부 붕따우) SSP5-8.5 중앙값 | 상대해수면 상승속도 Da Nang(중부 다낭) SSP1-1.9 중앙값 | 상대해수면 상승속도 Da Nang(중부 다낭) SSP1-2.6 중앙값 | 상대해수면 상승속도 Da Nang(중부 다낭) SSP2-4.5 중앙값 | 상대해수면 상승속도 Da Nang(중부 다낭) SSP3-7.0 중앙값 | 상대해수면 상승속도 Da Nang(중부 다낭) SSP5-8.5 중앙값 | 상대해수면 상승속도 Hon Dau(북부 하이퐁) SSP1-1.9 중앙값 | 상대해수면 상승속도 Hon Dau(북부 하이퐁) SSP1-2.6 중앙값 | 상대해수면 상승속도 Hon Dau(북부 하이퐁) SSP2-4.5 중앙값 | 상대해수면 상승속도 Hon Dau(북부 하이퐁) SSP3-7.0 중앙값 | 상대해수면 상승속도 Hon Dau(북부 하이퐁) SSP5-8.5 중앙값 | 상대해수면 상승속도 Phu Quoc(남부 푸꾸옥) SSP1-1.9 중앙값 | 상대해수면 상승속도 Phu Quoc(남부 푸꾸옥) SSP1-2.6 중앙값 | 상대해수면 상승속도 Phu Quoc(남부 푸꾸옥) SSP2-4.5 중앙값 | 상대해수면 상승속도 Phu Quoc(남부 푸꾸옥) SSP3-7.0 중앙값 | 상대해수면 상승속도 Phu Quoc(남부 푸꾸옥) SSP5-8.5 중앙값 | 상대해수면 상승속도 Quy Nhon(중부 꾸이년) SSP1-1.9 중앙값 | 상대해수면 상승속도 Quy Nhon(중부 꾸이년) SSP1-2.6 중앙값 | 상대해수면 상승속도 Quy Nhon(중부 꾸이년) SSP2-4.5 중앙값 | 상대해수면 상승속도 Quy Nhon(중부 꾸이년) SSP3-7.0 중앙값 | 상대해수면 상승속도 Quy Nhon(중부 꾸이년) SSP5-8.5 중앙값 | 상대해수면 상승속도 Vung Tau(남부 붕따우) SSP1-1.9 중앙값 | 상대해수면 상승속도 Vung Tau(남부 붕따우) SSP1-2.6 중앙값 | 상대해수면 상승속도 Vung Tau(남부 붕따우) SSP2-4.5 중앙값 | 상대해수면 상승속도 Vung Tau(남부 붕따우) SSP3-7.0 중앙값 | 상대해수면 상승속도 Vung Tau(남부 붕따우) SSP5-8.5 중앙값 | 상대해수면(저신뢰도) Da Nang(중부 다낭) SSP1-2.6 17퍼센타일 | 상대해수면(저신뢰도) Da Nang(중부 다낭) SSP1-2.6 5퍼센타일 | 상대해수면(저신뢰도) Da Nang(중부 다낭) SSP1-2.6 83퍼센타일 | 상대해수면(저신뢰도) Da Nang(중부 다낭) SSP1-2.6 95퍼센타일 | 상대해수면(저신뢰도) Da Nang(중부 다낭) SSP1-2.6 중앙값 | 상대해수면(저신뢰도) Da Nang(중부 다낭) SSP5-8.5 17퍼센타일 | 상대해수면(저신뢰도) Da Nang(중부 다낭) SSP5-8.5 5퍼센타일 | 상대해수면(저신뢰도) Da Nang(중부 다낭) SSP5-8.5 83퍼센타일 | 상대해수면(저신뢰도) Da Nang(중부 다낭) SSP5-8.5 95퍼센타일 | 상대해수면(저신뢰도) Da Nang(중부 다낭) SSP5-8.5 중앙값 | 상대해수면(저신뢰도) Hon Dau(북부 하이퐁) SSP1-2.6 17퍼센타일 | 상대해수면(저신뢰도) Hon Dau(북부 하이퐁) SSP1-2.6 5퍼센타일 | 상대해수면(저신뢰도) Hon Dau(북부 하이퐁) SSP1-2.6 83퍼센타일 | 상대해수면(저신뢰도) Hon Dau(북부 하이퐁) SSP1-2.6 95퍼센타일 | 상대해수면(저신뢰도) Hon Dau(북부 하이퐁) SSP1-2.6 중앙값 | 상대해수면(저신뢰도) Hon Dau(북부 하이퐁) SSP5-8.5 17퍼센타일 | 상대해수면(저신뢰도) Hon Dau(북부 하이퐁) SSP5-8.5 5퍼센타일 | 상대해수면(저신뢰도) Hon Dau(북부 하이퐁) SSP5-8.5 83퍼센타일 | 상대해수면(저신뢰도) Hon Dau(북부 하이퐁) SSP5-8.5 95퍼센타일 | 상대해수면(저신뢰도) Hon Dau(북부 하이퐁) SSP5-8.5 중앙값 | 상대해수면(저신뢰도) Phu Quoc(남부 푸꾸옥) SSP1-2.6 17퍼센타일 | 상대해수면(저신뢰도) Phu Quoc(남부 푸꾸옥) SSP1-2.6 5퍼센타일 | 상대해수면(저신뢰도) Phu Quoc(남부 푸꾸옥) SSP1-2.6 83퍼센타일 | 상대해수면(저신뢰도) Phu Quoc(남부 푸꾸옥) SSP1-2.6 95퍼센타일 | 상대해수면(저신뢰도) Phu Quoc(남부 푸꾸옥) SSP1-2.6 중앙값 | 상대해수면(저신뢰도) Phu Quoc(남부 푸꾸옥) SSP5-8.5 17퍼센타일 | 상대해수면(저신뢰도) Phu Quoc(남부 푸꾸옥) SSP5-8.5 5퍼센타일 | 상대해수면(저신뢰도) Phu Quoc(남부 푸꾸옥) SSP5-8.5 83퍼센타일 | 상대해수면(저신뢰도) Phu Quoc(남부 푸꾸옥) SSP5-8.5 95퍼센타일 | 상대해수면(저신뢰도) Phu Quoc(남부 푸꾸옥) SSP5-8.5 중앙값 | 상대해수면(저신뢰도) Quy Nhon(중부 꾸이년) SSP1-2.6 17퍼센타일 | 상대해수면(저신뢰도) Quy Nhon(중부 꾸이년) SSP1-2.6 5퍼센타일 | 상대해수면(저신뢰도) Quy Nhon(중부 꾸이년) SSP1-2.6 83퍼센타일 | 상대해수면(저신뢰도) Quy Nhon(중부 꾸이년) SSP1-2.6 95퍼센타일 | 상대해수면(저신뢰도) Quy Nhon(중부 꾸이년) SSP1-2.6 중앙값 | 상대해수면(저신뢰도) Quy Nhon(중부 꾸이년) SSP5-8.5 17퍼센타일 | 상대해수면(저신뢰도) Quy Nhon(중부 꾸이년) SSP5-8.5 5퍼센타일 | 상대해수면(저신뢰도) Quy Nhon(중부 꾸이년) SSP5-8.5 83퍼센타일 | 상대해수면(저신뢰도) Quy Nhon(중부 꾸이년) SSP5-8.5 95퍼센타일 | 상대해수면(저신뢰도) Quy Nhon(중부 꾸이년) SSP5-8.5 중앙값 | 상대해수면(저신뢰도) Vung Tau(남부 붕따우) SSP1-2.6 17퍼센타일 | 상대해수면(저신뢰도) Vung Tau(남부 붕따우) SSP1-2.6 5퍼센타일 | 상대해수면(저신뢰도) Vung Tau(남부 붕따우) SSP1-2.6 83퍼센타일 | 상대해수면(저신뢰도) Vung Tau(남부 붕따우) SSP1-2.6 95퍼센타일 | 상대해수면(저신뢰도) Vung Tau(남부 붕따우) SSP1-2.6 중앙값 | 상대해수면(저신뢰도) Vung Tau(남부 붕따우) SSP5-8.5 17퍼센타일 | 상대해수면(저신뢰도) Vung Tau(남부 붕따우) SSP5-8.5 5퍼센타일 | 상대해수면(저신뢰도) Vung Tau(남부 붕따우) SSP5-8.5 83퍼센타일 | 상대해수면(저신뢰도) Vung Tau(남부 붕따우) SSP5-8.5 95퍼센타일 | 상대해수면(저신뢰도) Vung Tau(남부 붕따우) SSP5-8.5 중앙값,1,연도,m | mm/yr,2020–2100,측정항목 | 연도,covered,false,verified-in-production-dom,true
B-009,생물다양성·기후 위험,score-trend,핵심 지표와 추세,접힌 원자료 표,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",6,ND-GAIN 취약성 | WWF BRF | WWF BRF 물리적 위험(Scape Physical) | WWF BRF 제공 서비스(Provisioning) | WWF BRF 조절 | WWF BRF 조절 서비스(Mitigating),5,분류 | 세부 분류 | detail_2 | 기술 | 연도,지수 | 점,1995–2026,측정항목 | 세부 분류 | detail_2 | 기술 | 연도,covered,false,verified-in-production-dom,true
B-010,기후위험지수,score-trend,핵심 지표와 추세,접힌 원자료 표,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",5,2024년 최대 피해 극한기상 사건 | CRI 30년 누적 순위 | CRI 본문 수록 피해통계(2024년) | CRI 순위 | CRI 종합 순위,2,세부 분류 | 연도,사건 | 순위 | —,2023–2024,측정항목 | 연도,covered,false,verified-in-production-dom,true
B-011,기후취약성지수,score-trend,핵심 지표와 추세,접힌 원자료 표,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",12,ND-GAIN 종합점수 | ND-GAIN 준비도 | 물 하위지표 | 보건 하위지표 | 생태계 서비스 하위지표 | 식량 하위지표 | 인간 서식지 하위지표 | 인프라 하위지표 | 적응준비도(Readiness) | 취약성 구성요소 | 취약성 종합(Vulnerability) | 취약성 하위부문,2,세부 분류 | 연도,점 | 지수,1995–2024,측정항목 | 세부 분류 | 연도,covered,false,verified-in-production-dom,true
B-012,재해·재난 이력,policy-timeline,정책 타임라인,접힌 원자료 표,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",10,사건 단위 위치정보 확보 현황 | 연도별 자연재해 발생 건수 | 재해 유형별 발생 건수 | 재해 유형별 부상자 | 재해 유형별 사망자 | 재해 유형별 이재민 | 재해 유형별 총피해액 | 재해 유형별 총피해액(물가조정) | 재해 유형별 총피해인구 | 지점(point) 단위 재해 이력,1,연도,건 | 명 | 천 US$,2024–2024,측정항목,not-required,false,verified-in-production-dom,true
B-013,탄소국경조정제도 영향,technology-comparison,범주 비교,접힌 원자료 표,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",7,EU 평균 탄소지불액 | 경제 노출지수(Economic Exposure Index) | 대EU 수출비중 | 대EU 수출액 | 무역 노출지수(Trade Exposure Index) | 생산 노출지수(Output Exposure Index) | 탄소지불액,3,세부 분류 | detail_2 | 연도,%,2022–2022,측정항목 | 세부 분류 | detail_2,covered,false,verified-in-production-dom,true
B-014,탄소세 도입 효과 전망,scenario-comparison,복수 측정항목 추세,접힌 원자료 표,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",6,GDP 영향 | 권고 탄소가격 경로 | 누적 추가 세수 | 배출 감소율 | 연간 세수(GDP 대비) (범위 상한) | 연간 세수(GDP 대비) (범위 하한),2,세부 분류 | 연도,% | USD/tCO₂e | 십억 USD | % of GDP/yr,2030–2040,측정항목 | 세부 분류 | 연도,not-required,false,verified-in-production-dom,true
B-015,탄소가격 수준,policy-timeline,정책 타임라인,접힌 원자료 표,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",7,ETS 대상 시설 수 | 국가 크레딧 메커니즘 상태 | 국내 배출권거래제(ETS) 운영 상태 | 배출권 할당량 | 탄소 가격(실효 가격) | 탄소세 | 파리협정 제6조 협력 체결 현황,2,세부 분류 | 연도,개소 | 상태 | tCO₂e | USD/tCO₂e,2020–2026,측정항목 | 세부 분류 | 연도,not-required,false,verified-in-production-dom,true
B-016,화석연료 의존도,kpi-trend,핵심 지표와 추세,접힌 원자료 표,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",2,화석연료 소비 비중 | 화석연료 소비 비중(EI 기반 보완 산출),1,연도,%,1990–2025,측정항목 | 연도,not-required,false,verified-in-production-dom,true
B-017,물 스트레스,spatial-analysis,복수 측정항목 추세,지역 선택 상세와 원자료 표,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",9,가뭄 리스크 | 가뭄 위험(Drought Risk) | 기준 물 스트레스 | 기준 물스트레스 전망 | 기준 물스트레스(Baseline Water Stress) | 물 스트레스 기여 | 물 스트레스(SDG 6.4.2) | 하천 홍수 리스크 | 하천홍수 위험(Riverine Flood Risk),4,세부 분류 | detail_2 | 기술 | 연도,점 | %,1990–2080,측정항목 | 세부 분류 | detail_2 | 기술 | 연도,covered,false,verified-in-production-dom,true
B-018,장기 국내총생산 전망,scenario-comparison,복수 측정항목 추세,접힌 원자료 표,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",7,1인당 GDP(PPP) | 1인당 GDP(PPP) 과거 실적(참고) | 1인당 GDP(PPP) 전 구간 | GDP(PPP) | GDP(PPP) 과거 실적(참고) | GDP(PPP) 전 구간 | GDP(PPP) 전망,2,세부 분류 | 연도,USD_2017/인 | 십억 USD_2017/yr,1980–2100,측정항목 | 세부 분류 | 연도,covered,false,verified-in-production-dom,true
B-019,장기 인구 전망,scenario-comparison,복수 측정항목 추세,접힌 원자료 표,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",3,인구 과거 실적(참고) | 인구 전 구간 | 인구 전망,2,세부 분류 | 연도,백만명,1950–2100,측정항목 | 세부 분류 | 연도,covered,false,verified-in-production-dom,true
B-020,복합 위험지수,score-trend,핵심 지표와 추세,접힌 원자료 표,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",11,INFORM Risk | INFORM Risk 세계 순위 | INFORM Risk 시계열(2017 | INFORM Risk 위험등급 | INFORM 결측 지표 수 | INFORM 신뢰도 부족 지수 | INFORM 자료 최신성 | INFORM 추세 | INFORM 추세 | INFORM 하위지표 | 결측 지표 비율,3,세부 분류 | detail_2 | 연도,지수 | 순위 | 등급 | 개 | 점 | 년 | 원값 | %,2017–2026,측정항목 | 세부 분류 | detail_2 | 연도,covered,false,verified-in-production-dom,true
B-021,취약성지수,score-trend,핵심 지표와 추세,접힌 원자료 표,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",14,"GVI 7개 사회경제 차원 하위지수 | GVI 장래전망(PGVI, 2020 | GVI 취약성 지수 | 구성지표 | 구성지표 | 구성지표 | 구성지표 | 구성지표 | 전망 구성지표 | 전망 구성지표 | 전망 구성지표 | 전망 구성지표 | 전망 구성지표 | 전망 구성지표",3,세부 분류 | detail_2 | 연도,지수 | % | log(USD_2017 PPP) | 년 | 세 | USD (2017 PPP) | 건/100명,1990–2100,측정항목 | 세부 분류 | detail_2 | 연도,covered,true,verified-in-production-dom,true
B-022,기후피해의 경제적 비용,score-trend,핵심 지표와 추세,접힌 원자료 표,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",7,기후 투자 재원 구성 | 기후 피해 경제손실(적응 부재 시) (범위 상한) | 기후 피해 경제손실(적응 부재 시) (범위 하한) | 적응 투자 필요액 | 총 투자 필요액(적응+탈탄소) | 추가 극빈곤 인구 | 탈탄소 경로 투자 구성,2,세부 분류 | 연도,십억 US$ | % of GDP/yr | 십억 USD | 명,2030–2050,측정항목 | 세부 분류 | 연도,not-required,false,verified-in-production-dom,true
B-023,건기/우기 유량 차이,kpi-trend,핵심 지표와 추세,접힌 원자료 표,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",9,건기 최저유량 | 메콩(Kratie) 건기 | 메콩델타 건기 유량 비중 | 메콩델타 우기 유량 비중 | 우기 최고유량 | 유역 단위 건우기 유량차(GIS 기반 산출) | 홍강(Sơn Tây) 건기 | 홍강(Sơn Tây) 우기 유량 비중 (범위 상한) | 홍강(Sơn Tây) 우기 유량 비중 (범위 하한),4,분류 | 세부 분류 | 기술 | 연도,m³/s | 비(倍) | %,2004–2026,측정항목 | 세부 분류 | 연도,not-required,false,verified-in-production-dom,true
B-024,농업 용수 비중,composition-trend,연도별 구성 변화,선택연도 구성 상세,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",5,관개농업 용수생산성 (SDG 6.4.1) | 농업 용수 비중 | 농업 용수 취수 비중 | 농업 용수 취수 비중(총 재생가능 수자원 대비) | 용수생산성,3,세부 분류 | 기술 | 연도,US$/m³ | %,1990–2023,측정항목 | 세부 분류 | 연도,not-required,false,verified-in-production-dom,true
B-025,유역 면적,spatial-analysis,복수 측정항목 추세,지역 선택 상세와 원자료 표,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",4,유역 면적(HydroBASINS 기반 산출) | 유역 면적(베트남 국내분) | 유역 총면적(국경 포함) | 전국 유역면적 집계,4,세부 분류 | detail_2 | 기술 | 연도,km²,2024–2026,측정항목 | 세부 분류 | detail_2 | 연도,not-required,false,verified-in-production-dom,true
B-026,유향(flow direction),spatial-analysis,복수 측정항목 추세,지역 선택 상세와 원자료 표,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",2,D8 유향 분포(격자 비율) | 대권역 우세 유향,3,세부 분류 | 기술 | 연도,% | 방위,2022–2022,측정항목 | 세부 분류,not-required,false,verified-in-production-dom,true
B-027,지하수 잠재량,spatial-analysis,복수 측정항목 추세,지역 선택 상세와 원자료 표,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",3,이용가능(정규 재생) 지하수 | 지하수 잠재량 | 총 재생가능 지하수 자원량,3,세부 분류 | 기술 | 연도,10⁹ m³/yr | mm/yr 또는 10⁹ m³/yr,1990–2026,측정항목 | 연도,not-required,false,verified-in-production-dom,true
B-028,하천 유량,spatial-analysis,복수 측정항목 추세,지역 선택 상세와 원자료 표,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",10,내부 재생가능 수자원(IRWR) | 메콩 연평균 유량 (범위 상한) | 메콩 연평균 유량 (범위 하한) | 수자원 국외 의존율 | 외부 유입 수자원 | 총 재생가능 수자원(TRWR) | 하천 유량 | 홍강 | 홍강(Sơn Tây) 연평균 유량 (범위 상한) | 홍강(Sơn Tây) 연평균 유량 (범위 하한),6,댐 건설 시기 | 세부 분류 | detail_2 | detail_3 | 기술 | 연도,km³/yr | % | m³/s,2004–2026,측정항목 | 댐 건설 시기 | 세부 분류 | detail_2 | 연도,not-required,false,verified-in-production-dom,true
B-029,산림 유형별 면적,spatial-analysis,복수 측정항목 추세,지역 선택 상세와 원자료 표,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",8,맹그로브 면적 | 맹그로브 면적(MODIS) | 맹그로브 면적(WorldCover) | 습윤열대 1차림 면적(위성 기준) | 원시림 면적 | 이탄지 면적 | 자연재생림 면적 | 조림지 면적,2,기술 | 연도,1000 ha | ha,1990–2025,측정항목 | 연도,not-required,false,verified-in-production-dom,true
