문제ID,대상,문제,재현순서,실제결과,기대결과,근거,배포미반영여부,중요도,캡처,parentFindingId,원인그룹,정정이력
LQA-031,B-034,순플럭스 대표값이 2001-2025년 연평균인데 화면에는 2025년 값으로 표기된다,1) B-034 상세 진입 2) 연도 선택창과 KPI 표기 확인 3) 자료정보 펼쳐 자료기간 확인,"연도 선택창이 2025로 설정되고 KPI가 산림탄소 순플럭스 -4,361,423 Mg CO2e/yr로 2025년 값처럼 제시된다. 자료정보의 자료기간도 2000~2025로만 표기된다. 이 값이 특정 연도 실적이 아니라 기간 연평균이라는 안내가 화면 어디에도 없다","기간 연평균임을 값 옆이나 지표 설명에 명시하고, 연도 선택창이 특정 연도를 고르는 것처럼 보이지 않게 해야 한다","원천 b-034.csv의 B-034_forest_carbon_net_flux 행 note가 ""2001-2025 기간의 연평균값 - 2025년 실적치가 아님(원천 ReadMe 명시)""이라고 직접 경고한다. 그럼에도 같은 행의 year 값은 2025로 저장되어 화면이 2025년으로 표기한다. 성 단위 행들도 year=2025이며 note에는 [추정치]만 있고 연평균 경고가 없다 또한 같은 요소의 지도 레이어는 항목을 성(省)별 산림탄소 순플럭스(연평균) 으로 연평균임을 명시한다. 같은 앱 안에서 지도는 연평균을 밝히고 상세화면은 밝히지 않는 불일치가 있다.",LIVE_DEFECT_NOT_YET_FIXED,P0,"screenshots/b034-default-top-958x918.jpg, screenshots/b034-datainfo-scope-national-units-mixed-958x918.jpg",,,2026-09-08 보강: 지도 레이어가 (연평균)을 명시하는 것을 확인. 상세화면에만 누락된 표기다.
LQA-032,B-034,성 단위 지역명이 원천에 존재하는데 화면 표시명으로 옮겨지지 않는다,1) B-034 비교 차트 행 이름 확인 2) 원천 b-034.csv의 성 단위 행 indicator_id와 값을 화면 값과 대조,화면 행 이름은 모두 성(省) 단위다. 원천에서 성 식별정보는 indicator_id 슬러그에만 있고(B-034_carbon_net_flux_prov_an_giang 등 63개) name·latitude·longitude·attributes_json 열은 모두 비어 있다. 화면은 슬러그를 표시명으로 변환하지 않고 공통 라벨로 대체한다,원천 슬러그를 지역 표시명으로 변환해 각 행에 표시해야 한다. 표시명 사전이 없다면 최소한 슬러그라도 노출해 식별 가능하게 해야 한다,"같은 요소(tanso-jeojangryang)의 지도 레이어 산림 탄소는 성 이름을 정상 표시한다. 지도 시설 선택기가 산림 탄소 · Lai Chau 1/63 으로 표시되고, 우측 전국 요약이 하위 지역 Yen Bai -3,261,471 Mg CO2e/yr, 상위 지역 Kon Tum 2,923,480 Mg CO2e/yr 로 이름과 값을 함께 준다. 성 경계 위에 포인터를 올리면 Nghe An · 현재 값 1,799,591 Mg CO2e/yr 팝업이 뜬다. 이 세 값(-3,261,471 / 2,923,480 / 1,799,591)은 B-034 상세화면 비교 차트에서 성(省) 단위 로만 표시된 행의 값과 정확히 일치한다. 따라서 성 이름은 원천에서 복원 가능할 뿐 아니라 같은 앱의 지도 화면에 이미 구현되어 있고, 상세화면에만 적용되지 않았다.",LIVE_DEFECT_NOT_YET_FIXED,P0,"screenshots/b034-sign-and-identical-labels-958x918.jpg, screenshots/b034-province-rows-tail-identical-labels-958x918.jpg",LQA-018,,"원천 부족이 아니라 표시 변환 누락임을 원천 대조로 확정. 다만 원천 name 열이 비어 있다는 점도 함께 기록한다 | 2026-09-08 보강: 지도 레이어가 동일 값에 성 이름을 표시하는 것을 확인해, 원천 부족도 구현 부재도 아니라 상세화면에만 표시명이 적용되지 않은 것으로 확정했다. 지역명을 추측해 생성하지 않았다."
LQA-033,B-034,자료정보의 자료 범위는 국가인데 분석 화면은 63개 성 단위 값을 제시한다,1) B-034 자료정보 펼침 2) 자료 범위 항목 확인 3) 위 비교 차트의 행 구성과 대조,자료정보의 자료 범위가 국가로 표기된다. 그러나 바로 위 비교 차트는 임계값별 전국 집계 3행과 성 단위 60여 행으로 구성된다,성 단위 값을 제공한다면 자료 범위에 하위 지역 단위를 함께 표기해야 한다,"원천에 성 단위 지표군이 존재한다(B-034_prov_net_*, B-034_prov_emis_* 등)",LIVE_OBSERVATION_NEEDS_VERIFICATION,P2,screenshots/b034-datainfo-scope-national-units-mixed-958x918.jpg,,,
LQA-034,B-034,같은 측정의 단위가 서로 다른 문자열로 병기된다,1) B-034 자료정보 펼침 2) 단위 항목 확인,"단위 항목에 Mg C · Mg C/ha · Mg CO₂e/yr · Mg CO₂/yr · Mg CO2e/yr · ha 가 나열되어, 아래첨자 표기 Mg CO₂e/yr와 일반 표기 Mg CO2e/yr가 서로 다른 단위처럼 함께 보인다",같은 단위는 한 표기로 통일해야 한다,원천 b-034.csv에서 전국 순플럭스 행의 unit이 Mg CO₂e/yr이고 임계값별·성 단위 행의 unit이 Mg CO2e/yr로 서로 다르게 저장되어 있다. 화면은 이를 그대로 나열한다,LIVE_DEFECT_NOT_YET_FIXED,P2,screenshots/b034-datainfo-scope-national-units-mixed-958x918.jpg,LQA-020,,
LQA-035,지도/발전소,시설 선택기로 개별 발전소를 골라도 우측 지도 분석에 그 시설 정보가 나오지 않는다,1) 데이터 지도 탭 클릭 2) 지도 데이터에서 발전소 선택 3) 상단 시설 선택기의 오른쪽 화살표를 눌러 2/1889(A Vuong)로 이동 4) 우측 지도 분석 패널 확인,"선택기는 발전소 · A Vuong 2 / 1889로 바뀌고 지도도 해당 위치로 이동하지만, 우측 현재 분석은 데이터명 발전소 / 항목 발전소 목록 / 선택 변수 발전소 / 자료연도 2026 / 단위 개 / 지도 표시 범위 발전소 위치 1,889개 로 선택 전과 동일하다. 전국 요약도 총 발전소 1,889건 그대로다. 선택한 시설의 발전원·설비용량·소재 성 어느 것도 우측에 나타나지 않는다",시설을 선택하면 우측 패널 상단에 그 시설의 이름·발전원·설비용량·단위·소재지·자료연도가 우선 표시되어야 한다,"1,889개를 하나씩 넘겨도 이름 외에는 알 수 있는 것이 없다. 좌측 범례는 발전원 색상과 설비용량 크기를 설명하므로 원천에 해당 속성이 존재함이 확인된다",LIVE_DEFECT_NOT_YET_FIXED,P1,screenshots/map-powerplant-avuong-right-panel-generic-958x918.jpg,,,
LQA-036,지도/발전소,개별 시설 hover 팝업이 위 카드에 가려 잘리고 내용이 중복된다,1) 발전소 레이어 선택 2) 시설 선택기로 A Vuong 이동 3) 지도의 개별 점 위에 실제 포인터를 올림,"팝업 윗부분이 상단 발전소 카드에 가려 보이지 않는다. 읽을 수 있는 부분은 자료연도 2026 / 수력 발전시설 발전소 발전원 수력 자료연도 2026 이다. 수력이 두 번, 자료연도 2026이 두 번 반복되고 발전시설과 발전소가 함께 나온다. 설비용량 값과 소재 성 이름은 없다",팝업은 시설명·소재지·발전원·설비용량과 단위·자료연도를 한 번씩만 짧게 제공하고 다른 카드에 가리지 않아야 한다,좌측 범례에 설비용량 크기 항목이 있어 용량 속성이 존재하는데 팝업에는 값이 없다. 실제 포인터 hover로 재현,LIVE_DEFECT_NOT_YET_FIXED,P1,screenshots/map-powerplant-popup-clipped-redundant-zoom.png,,,
LQA-037,지도,세 개의 겹침 패널이 지도를 가려 기본 상태에서 표시된 데이터가 보이지 않는다,1) 데이터 지도 탭 클릭 2) 발전소 선택 3) 화면 캡처 4) 우측 지도 분석 접기 후 다시 캡처,"콘텐츠 폭 958px에서 좌측 목록·상단 선택 카드·좌하단 범례 카드·우측 지도 분석이 동시에 떠 있어 지도 가시영역이 가로 약 330px 세로 약 300px만 남는다. 이 상태에서는 1,889개 발전소 군집 표식이 하나도 보이지 않는다. 우측 패널을 접자 군집 표식(149·171·241·391 등)이 즉시 나타났다",데이터를 선택하면 표식이 보이는 영역이 확보되도록 패널 배치가 조정되어야 한다,접기 전후 캡처 비교로 표식 렌더링 자체는 정상이고 가림이 원인임을 확인했다. 렌더링 실패로 기록하지 않는다,LIVE_DEFECT_NOT_YET_FIXED,P1,"screenshots/map-powerplant-panels-cover-map-958x918.jpg, screenshots/map-powerplant-clusters-after-collapse-958x918.jpg",,,
LQA-038,지도,사용자가 접은 우측 패널이 지도 클릭 후 저절로 다시 펼쳐진다,1) 발전소 선택 2) 우측 지도 분석 접기 클릭 3) 지도의 군집 표식을 클릭해 확대 4) 우측 패널 상태 확인,"접기로 우측 패널이 분석 보기 버튼만 남게 접힌 뒤, 군집을 클릭해 확대하자 지도 분석 패널이 다시 펼쳐져 지도를 재차 가린다. 사용자가 방금 한 조작이 되돌려진다",패널 접힘 상태는 지도 조작 후에도 유지되어야 한다,접기 직후 캡처와 군집 클릭 후 캡처 비교로 확인,LIVE_DEFECT_NOT_YET_FIXED,P2,"screenshots/map-powerplant-clusters-after-collapse-958x918.jpg, screenshots/map-powerplant-avuong-right-panel-generic-958x918.jpg",,,
LQA-039,지도,기본 진입 상태에서 같은 안내 문장이 세 곳에 반복되고 그 중 하나가 지도를 덮는다,1) 데이터 지도 탭 클릭 2) 데이터를 고르기 전 기본 화면 확인,"좌측 패널 상단 추천 분석 안내에 배경지도와 63개 성·시 경계가 준비됐습니다, 지도 위 떠 있는 카드에 배경지도와 베트남 63개 성·시 경계가 준비되어 있습니다, 우측 패널에 추천 분석이나 지도 데이터를 선택하면 전국 요약과 상세정보가 여기에 표시됩니다 가 동시에 나온다. 지도 위 카드는 문장이 카드 밖으로 넘쳐 있습니 다 로 줄바꿈된다",같은 안내는 한 곳에만 두고 지도를 덮지 않아야 한다,기본 진입 캡처로 확인,LIVE_DEFECT_NOT_YET_FIXED,P2,screenshots/map-default-empty-triple-repeat-958x918.jpg,,,
LQA-040,지도/발전소,발전소 자료연도가 2026년으로 표기된다,1) 발전소 레이어 선택 2) 우측 현재 분석과 좌하단 범례 카드의 자료연도 확인,자료연도가 2026으로 표시된다. 개별 시설 팝업에도 자료연도 2026이 표기된다. 현재 시점 기준 미래 연도이며 발전소 입지 자료의 기준연도로는 확인이 필요하다,자료 기준연도를 원천 기준으로 표기하고 갱신 시점과 구분해야 한다,원천 대조를 수행하지 않아 원천 자체가 2026을 담고 있는지 화면 표기 문제인지 미확정,LIVE_OBSERVATION_NEEDS_VERIFICATION,P2,screenshots/map-powerplant-panels-cover-map-958x918.jpg,,,
LQA-041,지도,좌측 추천 분석·지도 데이터 항목 버튼에 접근성 이름이 비어 있다,1) 데이터 지도 화면에서 읽기 트리를 interactive 필터로 확인 2) 개별 버튼 하위 요소 확인,좌측 패널의 버튼 12개가 읽기 트리에서 이름 없는 button으로 나온다. 하위에 발전소 / 입지·발전원·설비용량 분포 같은 텍스트가 generic 요소로 존재하지만 버튼 이름으로 계산되지 않는 것으로 보인다,각 버튼이 데이터명을 접근성 이름으로 갖도록 해야 한다,읽기 트리 관찰 결과이며 JavaScript 실행이 차단되어 계산된 접근성 이름을 직접 확인하지 못했다. 도구 표현상의 한계 가능성이 있어 확정하지 않는다,LIVE_OBSERVATION_NEEDS_VERIFICATION,P2,screenshots/map-powerplant-panels-cover-map-958x918.jpg,,,
LQA-042,지도,주소로 지도 화면을 열 수 없다,1) 주소창에 https://nigtldcmap.vercel.app/?view=map 입력,지도가 아니라 홈으로 이동하고 주소가 #home 으로 바뀐다. 지도 화면은 상단 데이터 지도 탭을 눌러야 열리며 그때 주소가 ?layer=...#map 형태로 바뀐다,공유·북마크된 주소로도 같은 화면이 열려야 한다,view=data 형식은 상세화면에서 정상 동작하므로 view 파라미터 규칙이 화면마다 다르다,LIVE_OBSERVATION_NEEDS_VERIFICATION,P2,screenshots/map-default-empty-triple-repeat-958x918.jpg,,,
LQA-043,지도/송전망,송전 선로 hover 팝업이 같은 문구 네 줄만 반복하고 전압·선로 정보를 전혀 주지 않는다,1) 데이터 지도에서 베트남 송전망 선택 2) 우측 패널 접기 3) 남부 500kV 선로 위에 실제 포인터를 올림,"팝업이 이 위치에 4개 데이터 라는 제목 아래 주 분석 · 베트남 송전망 · 베트남 송전망 을 네 줄 똑같이 반복한다. 전압(kV), 선로명, 기점·종점, 구간 길이, 자료연도 어느 것도 없다. 레이어 이름이 한 줄에 두 번 나온다",겹친 선로 각각의 전압과 선로 식별정보를 구분해 보여주어야 한다. 최소한 500 kV / 220 kV / 110 kV 구분은 팝업에 있어야 한다,같은 화면 범례가 전압별 색을 정의하고 전국 요약이 500 kV 32개·220 kV 143개·110 kV 431개로 전압 속성을 집계하므로 원천에 전압 속성이 존재한다. 팝업만 이를 활용하지 않는다,LIVE_DEFECT_NOT_YET_FIXED,P1,"screenshots/map-grid-popup-4-identical-rows-zoom.png, screenshots/map-grid-lines-legend-match-958x918.jpg",LQA-036,,
LQA-044,지도/송전망,송전망 자료연도가 2016년인데 정확도·최신성 한계 안내가 없다,1) 베트남 송전망 선택 2) 우측 현재 분석과 좌하단 범례 카드의 자료연도 확인,자료연도가 2016으로 표시되고 그 외 정확도나 갱신 시점에 관한 안내가 없다. 같은 지도의 발전소 레이어는 자료연도 2026으로 표시되어 두 레이어를 함께 볼 때 10년 차이가 나는 자료가 같은 화면에 겹쳐진다,자료연도 차이가 큰 레이어를 겹쳐 볼 때 기준연도 차이를 알 수 있게 표시해야 한다,발전소 2026 / 송전망 2016 이 각각 우측 현재 분석에 표기됨. 보조 데이터 1개를 함께 볼 수 있는 화면 구조이므로 겹쳐 보기가 실제로 가능하다,LIVE_DEFECT_NOT_YET_FIXED,P1,screenshots/map-grid-panel-covers-lines-958x918.jpg,,,
LQA-045,지도/송전망,구간 수가 가장 많은 110 kV가 범례에서 접혀 보이지 않는다,1) 베트남 송전망 선택 2) 좌하단 범례 카드를 스크롤하지 않은 상태에서 확인,"범례 카드에 500 kV 32개 구간과 220 kV 143개 구간만 보이고, 606개 중 431개로 가장 많은 110 kV는 카드 아래로 잘려 보이지 않는다",구성비가 가장 큰 분류가 기본 상태에서 보이도록 범례 높이를 조정해야 한다,우측 전국 요약에는 110 kV 431개 구간이 표기되어 있어 값 자체는 존재한다,LIVE_DEFECT_NOT_YET_FIXED,P2,screenshots/map-grid-panel-covers-lines-958x918.jpg,,,
LQA-046,지도/송전망,레이어 표시명과 내부 데이터 식별자가 가리키는 범위가 다르다,1) 베트남 송전망 선택 2) 주소의 element 값 확인,"화면 표시명은 베트남 송전망이고 항목은 송전망 선로 목록인데, 주소의 element 값은 jeonryeogmang-wici-migonggeub-jiyeog(전력망 위치·미공급 지역)이다. 미공급 지역에 해당하는 표시는 지도에서 확인되지 않는다","원천 데이터가 미공급 지역을 포함한다면 그 부분도 선택해 볼 수 있어야 하고, 포함하지 않는다면 식별자와 표시명을 일치시켜야 한다",주소 파라미터 관찰. 원천 대조를 하지 않아 미공급 지역 자료의 실제 존재 여부는 미확정,LIVE_OBSERVATION_NEEDS_VERIFICATION,P2,screenshots/map-grid-panel-covers-lines-958x918.jpg,,,
LQA-047,지도/산림 탄소,성 경계 hover 팝업이 우측 지도 분석 패널에 가려 값이 잘린다,1) 데이터 지도에서 산림 탄소 선택 2) 지도 오른쪽 편의 성 경계 위에 실제 포인터를 올림,"팝업 내용은 산림 탄소 / Nghe An · 현재 값 1,799,591 Mg CO2e/yr (연간 이산화탄소환산량) / 선택 데이터 로 지역명·값·단위·단위 풀이를 모두 제공해 내용은 좋다. 다만 팝업 오른쪽이 지도 분석 패널 경계에서 잘려 단위 표기와 풀이가 두 줄로 끊긴다",팝업이 패널 경계를 넘지 않도록 위치를 조정해야 한다,발전소·송전망 팝업과 달리 이 레이어 팝업은 필요한 정보를 갖추고 있어 내용 문제가 아니라 배치 문제다,LIVE_DEFECT_NOT_YET_FIXED,P2,screenshots/map-forestcarbon-nghean-popup-clipped-958x918.jpg,,,
LQA-048,지도,레이어마다 팝업 정보 수준이 크게 다르다,1) 발전소 / 베트남 송전망 / 산림 탄소 각 레이어에서 실제 포인터 hover 팝업을 비교,산림 탄소는 지역명·값·단위·단위 풀이를 제공한다. 발전소는 자료연도와 발전원만 중복 나열하고 설비용량·소재지가 없다. 송전망은 같은 문구 네 줄만 반복하고 전압조차 없다. 같은 지도 안에서 레이어별 팝업 품질이 크게 다르다,팝업이 제공할 최소 항목(대상명·핵심값·단위·자료연도)을 레이어 공통 기준으로 맞춰야 한다,세 레이어를 같은 방식(실제 포인터 hover)으로 확인해 비교,LIVE_DEFECT_NOT_YET_FIXED,P1,"screenshots/map-forestcarbon-nghean-popup-clipped-958x918.jpg, screenshots/map-powerplant-popup-clipped-redundant-zoom.png, screenshots/map-grid-popup-4-identical-rows-zoom.png",LQA-036,,
LQA-049,지도/산림 탄소,[결함 아님] 자료 있음·없음 구분과 파생값 표기가 명확하다,1) 산림 탄소 선택 2) 우측 현재 분석·전국 요약 확인,"지도 표시 범위가 63개 성·시 중 63개에 값 있음 으로, 전국 요약이 자료가 있는 지역 63/63 성·시 로 표기된다. 중앙값은 중앙값(파생) 으로 원천값이 아님을 밝힌다. 최솟값·최댓값에 해당 지역명을 함께 제시한다",해당 없음. 다른 화면이 참고할 좋은 사례로 기록,자료없음과 0을 혼동하지 않도록 값 있는 지역 수를 명시하는 방식,NO_ISSUE_IN_REVIEWED_STATE,-,screenshots/map-forestcarbon-named-provinces-summary-958x918.jpg,,,
LQA-050,지도/재생에너지 지역계획,지도 위쪽에서 hover하면 상단 선택 카드가 팝업을 덮어 지역명이 보이지 않는다,1) 데이터 지도에서 재생에너지 지역계획 선택 2) 우측 지도 분석 접기 3) 북부 성 경계 위에 실제 포인터를 올림,"팝업 왼쪽이 상단 재생에너지 지역계획 카드에 덮여 지역명이 가려지고 지역계획 · 현재 값 1,418 MW (메가와트) 부분만 읽힌다. 어느 성의 값인지 알 수 없다",팝업이 상단 카드와 겹치지 않도록 배치하거나 카드를 반투명·축소 처리해야 한다,발전소 레이어(LQA-036)와 같은 위치에서 같은 방식으로 재현된다. 지도 아래쪽에서 hover한 산림 탄소는 지역명이 보였으므로 위치 의존적인 가림 문제다,LIVE_DEFECT_NOT_YET_FIXED,P1,screenshots/map-replan-popup-name-hidden-by-card-zoom.png,LQA-036,,
LQA-051,지도,범례 카드 안에서 스크롤하면 지도 페이지 전체가 밀려 지도가 잘리고 아래에 빈 공간이 생긴다,1) 재생에너지 지역계획 선택 2) 좌하단 범례 카드 위에서 아래로 스크롤 3) 화면 확인 4) 위로 스크롤해 복귀,"범례 카드 하단의 색상 눈금을 보려고 카드 위에서 스크롤하면 카드가 아니라 문서 전체가 스크롤되어, 지도 영역이 세로 약 450px로 잘리고 그 아래에 빈 배경이 드러난다. 위로 스크롤하면 원래 배치로 돌아온다",범례 카드 내부만 스크롤되어야 하고 지도 화면은 화면 높이에 고정되어야 한다,스크롤 전후 캡처 비교. 복귀 가능하므로 영구 손상은 아니나 색상 눈금을 확인하려면 반드시 이 상태를 거치게 된다,LIVE_DEFECT_NOT_YET_FIXED,P2,screenshots/map-replan-page-scroll-cuts-map-958x918.jpg,,,
LQA-052,지도/재생에너지 지역계획,선택 변수에 베트남어 약어가 풀이 없이 노출된다,1) 재생에너지 지역계획 선택 2) 우측 현재 분석의 선택 변수와 범례 카드 확인,선택 변수가 옥상태양광(ĐMT mái nhà) 로 표시된다. ĐMT는 Điện Mặt Trời의 베트남어 약어인데 한국어 사용자에게 풀이가 제공되지 않는다. 같은 플랫폼이 LCOE·USD·PPI 등 영문 약어에는 용어 도움말 버튼을 제공하는 것과 다르다,한국어 표시명만 두거나 베트남어 원문을 병기할 경우 용어 도움말을 제공해야 한다,항목 PDP8에는 용어 도움말이 붙어 있으나 ĐMT에는 없다,LIVE_DEFECT_NOT_YET_FIXED,P2,screenshots/map-replan-default-vietnamese-variable-958x918.jpg,,,
LQA-053,지도/재생에너지 지역계획,[결함 아님] 색상 눈금이 최소·최대값과 결측 개수를 함께 밝힌다,1) 재생에너지 지역계획 선택 2) 범례 카드 하단 색상 눈금 확인,"색상 눈금이 50 MW부터 2,092 MW까지 표시되고 값 있음 63개 · 결측 0개 가 함께 적혀 있다. 지도 하단에 Natural Earth · 국가 외곽선 | geoBoundaries · 베트남 63개 성·시 (CC BY 4.0) 출처가 표기된다. 자료연도도 2025-2030 기간으로 표기되어 계획 자료임이 드러난다",해당 없음. 자료없음과 0을 구분하는 좋은 사례로 기록,산림 탄소 레이어의 63/63 표기와 동일한 방식,NO_ISSUE_IN_REVIEWED_STATE,-,screenshots/map-replan-page-scroll-cuts-map-958x918.jpg,,,
LQA-054,지도/지역 취약성,[결함 아님] 6개 권역값을 성 단위 독립값으로 오해하지 않도록 명시하고 있다,1) 데이터 지도에서 지역 취약성 선택 2) 중부 지역 성 경계에 실제 포인터 hover 3) 우측 지도 분석의 비교·공간단위 항목 확인,"hover 팝업이 [권역값] 중부고원 / 베트남 6개 권역 중 2위 로 권역값임을 앞에 표시하고 권역명과 6개 권역 내 순위를 준다. 우측 패널의 비교·공간단위 항목이 GDL / 6개 권역의 값을 해당 성·시에 표시하며, 성 단위 독립 추정값이 아닙니다. 로 명시한다. 값 해석 항목도 높을수록 사회경제적 취약성이 큼 으로 방향을 밝힌다",해당 없음. 원 프롬프트가 지적한 6개 권역값을 63개 성의 독립값처럼 표현하는 문제는 이 레이어에서 발생하지 않는다,URL 변수 키가 gvi-6 이고 좌측 목록 부제도 권역별 취약성 수준 으로 일관된다. 63개 성 폴리곤에 색을 칠하지만 팝업과 공간단위 안내가 권역값임을 반복해 알린다,NO_ISSUE_IN_REVIEWED_STATE,-,"screenshots/map-gvi-popup-regional-value-zoom.png, screenshots/map-gvi-spatial-unit-disclosure-958x918.jpg",,,
LQA-055,지도/지역 취약성,권역값인데 지도 표시 범위와 시설 선택기는 63개 성 단위로 세어 안내와 어긋난다,1) 지역 취약성 선택 2) 지도 표시 범위 문구와 상단 시설 선택기 표기를 비교·공간단위 안내와 대조,"같은 화면에서 비교·공간단위는 6개 권역의 값이며 성 단위 독립 추정값이 아니라고 밝히는데, 지도 표시 범위는 63개 성·시 중 63개에 값 있음 으로 표기되고 상단 선택기는 지역 취약성 · Lai Chau 1 / 63 으로 63개를 하나씩 넘기게 되어 있다. 실제 서로 다른 값은 6개뿐이다",권역 자료는 6개 권역 기준으로 세고 선택기도 권역 단위로 넘기는 것이 안내 문구와 일치한다,같은 화면 안의 두 표기가 서로 다른 공간단위를 전제한다. 팝업과 공간단위 안내는 정확하므로 값 자체의 오귀속은 아니다,LIVE_DEFECT_NOT_YET_FIXED,P2,"screenshots/map-gvi-spatial-unit-disclosure-958x918.jpg, screenshots/map-gvi-63-province-shading-958x918.jpg",,,
LQA-056,지도,선택 알림 문구에 조사 자리표시자가 그대로 남아 있다,1) 지도 데이터에서 아무 레이어나 선택 2) 좌측 목록 하단 알림 문구 확인,재생에너지 지역계획을(를) 선택 데이터로 표시했습니다 / 지역 취약성을(를) 선택 데이터로 표시했습니다 처럼 을(를) 형태가 그대로 노출된다,받침 여부에 따라 을 또는 를 하나만 표시하거나 조사가 필요 없는 문장으로 바꿔야 한다,서로 다른 두 레이어에서 동일하게 재현,LIVE_DEFECT_NOT_YET_FIXED,P2,screenshots/map-gvi-63-province-shading-958x918.jpg,,,
LQA-057,지도/적응기금 사업,[결함 아님] 다국가 참여범위와 실제 활동지역을 구분해 표시한다,"1) 데이터 지도에서 적응기금 사업 선택 2) 범례와 지도 표시 범위, 전국 요약 확인",범례가 점선 경계·옅은 면: 사업 참여지역 과 점: 원문에서 검증된 세부 활동지역 으로 두 가지를 구분한다. 지도 표시 범위는 지역 협력사업 2건의 참여국 범위 2개와 검증된 세부 활동지역 2곳 으로 적는다. 전국 요약은 지역 협력사업 2건 / 참여국 범위 2개 범위 / 검증된 세부 활동지역 2곳 / 베트남 참여 2개 사업 모두 포함 으로 베트남 귀속을 따로 밝힌다. 그리고 국가 대표좌표는 실제 사업 위치로 표시하지 않습니다 라는 안내가 명시되어 있다,해당 없음. 원 프롬프트가 지적한 다국가 사업 범위와 시설 위치 구분 문제는 이 레이어에서 발생하지 않는다,"실제 지도에서 참여범위 면이 베트남과 인접국에 걸쳐 렌더링되는 것을 확인했고, 검증된 활동지역은 점으로 별도 표기된다",NO_ISSUE_IN_REVIEWED_STATE,-,"screenshots/map-adaptfund-scope-vs-activity-958x918.jpg, screenshots/map-adaptfund-multicountry-polygon-958x918.jpg",,,
LQA-058,지도/적응기금 사업,참여지역 면 위에서 hover해도 팝업이 뜨지 않았다,1) 적응기금 사업 선택 2) 우측 패널 접기 3) 참여범위 면 내부(베트남 북부 해상 경계 안쪽)에 실제 포인터를 올림,한 지점에서 hover했으나 팝업이 나타나지 않았다. 같은 지도의 다른 레이어에서는 같은 방식으로 팝업이 떴다,참여지역 면도 hover 시 사업명과 참여국 범위를 알려주는 것이 일관적이다,"한 지점만 시도했으므로 면 전체에 hover 반응이 없는지, 특정 위치만 그런지 확정하지 못했다. 추가 확인 필요",LIVE_OBSERVATION_NEEDS_VERIFICATION,P2,screenshots/map-adaptfund-multicountry-polygon-958x918.jpg,,,
